region_code,region_name,province_code,province_name,district_code,district_name
CR,Capital,AF01,Kabul,AF0101,Kabul
CR,Capital,AF01,Kabul,AF0102,Paghman
CR,Capital,AF01,Kabul,AF0103,Chahar Asyab
CR,Capital,AF01,Kabul,AF0104,Bagrami
CR,Capital,AF01,Kabul,AF0105,Deh Sabz
CR,Capital,AF01,Kabul,AF0106,Shakar Dara
CR,Capital,AF01,Kabul,AF0107,Musahi
CR,Capital,AF01,Kabul,AF0108,Mir Bacha Kot
CR,Capital,AF01,Kabul,AF0109,Khak-e-Jabbar
CR,Capital,AF01,Kabul,AF0110,Kalakan
CR,Capital,AF01,Kabul,AF0111,Guldara
CR,Capital,AF01,Kabul,AF0112,Farza
CR,Capital,AF01,Kabul,AF0113,Estalef
CR,Capital,AF01,Kabul,AF0114,Qarabagh (Kabul)
CR,Capital,AF01,Kabul,AF0115,Surobi (Kabul)
CR,Capital,AF02,Kapisa,AF0201,Mahmood-e-Raqi
CR,Capital,AF02,Kapisa,AF0202,Hisa-e-Duwum Kohistan
CR,Capital,AF02,Kapisa,AF0203,Koh Band
CR,Capital,AF02,Kapisa,AF0204,Hisa-e-Awal Kohistan
CR,Capital,AF02,Kapisa,AF0205,Nijrab
CR,Capital,AF02,Kapisa,AF0206,Tagab (Kapisa)
CR,Capital,AF02,Kapisa,AF0207,Alasay
CR,Capital,AF03,Parwan,AF0301,Charikar
CR,Capital,AF03,Parwan,AF0302,Bagram
CR,Capital,AF03,Parwan,AF0303,Shinwari
CR,Capital,AF03,Parwan,AF0304,Sayed Khel
CR,Capital,AF03,Parwan,AF0305,Jabal Saraj
CR,Capital,AF03,Parwan,AF0306,Salang
CR,Capital,AF03,Parwan,AF0307,Ghorband
CR,Capital,AF03,Parwan,AF0308,Koh-e-Safi
CR,Capital,AF03,Parwan,AF0309,Surkh-e-Parsa
CR,Capital,AF03,Parwan,AF0310,Shekh Ali
CR,Capital,AF04,Maidan Wardak,AF0401,Maydan Shahr
CR,Capital,AF04,Maidan Wardak,AF0402,Nerkh
CR,Capital,AF04,Maidan Wardak,AF0403,Jalrez
CR,Capital,AF04,Maidan Wardak,AF0404,Chak-e-Wardak
CR,Capital,AF04,Maidan Wardak,AF0405,Saydabad
CR,Capital,AF04,Maidan Wardak,AF0406,Daymirdad
CR,Capital,AF04,Maidan Wardak,AF0407,Hesa-e-Awal Behsud
CR,Capital,AF04,Maidan Wardak,AF0408,Jaghatu (Wardak)
CR,Capital,AF04,Maidan Wardak,AF0409,Markaz-e-Behsud
CR,Capital,AF05,Logar,AF0501,Pul-e-Alam
CR,Capital,AF05,Logar,AF0502,Baraki Barak
CR,Capital,AF05,Logar,AF0503,Charkh
CR,Capital,AF05,Logar,AF0504,Khoshi
CR,Capital,AF05,Logar,AF0505,Mohammad Agha
CR,Capital,AF05,Logar,AF0506,Kharwar
CR,Capital,AF05,Logar,AF0507,Azra
ER,Eastern,AF06,Nangarhar,AF0601,Jalalabad
ER,Eastern,AF06,Nangarhar,AF0602,Behsud
ER,Eastern,AF06,Nangarhar,AF0603,Surkh Rod
ER,Eastern,AF06,Nangarhar,AF0604,Chaparhar
ER,Eastern,AF06,Nangarhar,AF0605,Kama
ER,Eastern,AF06,Nangarhar,AF0606,Kuz Kunar
ER,Eastern,AF06,Nangarhar,AF0607,Rodat
ER,Eastern,AF06,Nangarhar,AF0608,Khogyani
ER,Eastern,AF06,Nangarhar,AF0609,Bati Kot
ER,Eastern,AF06,Nangarhar,AF0610,Deh Bala
ER,Eastern,AF06,Nangarhar,AF0611,Pachir Wa Agam
ER,Eastern,AF06,Nangarhar,AF0612,Dara-e-Nur
ER,Eastern,AF06,Nangarhar,AF0613,Kot
ER,Eastern,AF06,Nangarhar,AF0614,Goshta
ER,Eastern,AF06,Nangarhar,AF0615,Achin
ER,Eastern,AF06,Nangarhar,AF0616,Shinwar
ER,Eastern,AF06,Nangarhar,AF0617,Muhmand Dara
ER,Eastern,AF06,Nangarhar,AF0618,Lalpoor
ER,Eastern,AF06,Nangarhar,AF0619,Sherzad
ER,Eastern,AF06,Nangarhar,AF0620,Nazyan
ER,Eastern,AF06,Nangarhar,AF0621,Hesarak
ER,Eastern,AF06,Nangarhar,AF0622,Dur Baba
ER,Eastern,AF07,Laghman,AF0701,Mehtarlam
ER,Eastern,AF07,Laghman,AF0702,Qarghayee
ER,Eastern,AF07,Laghman,AF0703,Alishang
ER,Eastern,AF07,Laghman,AF0704,Alingar
ER,Eastern,AF07,Laghman,AF0705,Dawlatshah
ER,Eastern,AF07,Laghman,AF0706,Bad Pakh
